date,Appliances,lag_1,is_night,hour,lights,T2,time_of_day,T_indoor_avg,T3,T6,T1
2016-01-12 17:00:00,60,40.0,0,17,0,19.0,1,16.9788888895,19.79,6.156666667,20.06666667
2016-01-12 17:10:00,60,60.0,0,17,10,19.0,1,16.94666666666667,19.79,6.09,20.0
2016-01-12 17:20:00,210,60.0,0,17,20,18.99,1,16.944999999999997,19.79,6.09,20.0
2016-01-12 17:30:00,380,210.0,0,17,20,18.90222222,1,16.93648148,19.82333333,6.06,20.03333333
2016-01-12 17:40:00,370,380.0,0,17,40,18.89,1,16.939999998833333,19.89,5.933333333,20.03333333
2016-01-12 17:50:00,230,370.0,0,17,30,18.89,1,16.93333333283333,19.89,5.526666667,20.0
2016-01-12 18:00:00,80,230.0,0,18,40,18.85666667,2,16.945,19.79,5.26,20.0
2016-01-12 18:10:00,90,80.0,0,18,30,18.85666667,2,16.916111111666666,19.79,5.06,20.0
2016-01-12 18:20:00,70,90.0,0,18,20,18.92666667,2,16.891666667166664,19.79,4.933333333,20.0
2016-01-12 18:30:00,40,70.0,0,18,10,19.0,2,16.909444443833333,19.79,4.933333333,20.03333333
2016-01-12 18:40:00,40,40.0,0,18,0,19.2,2,16.965,19.89,5.0,20.1
2016-01-12 18:50:00,30,40.0,0,18,0,19.245,2,16.933055555,19.89,4.9,20.1
2016-01-12 19:00:00,50,30.0,0,19,0,19.29,2,16.911666666666665,19.79,4.9,20.1
2016-01-12 19:10:00,50,50.0,0,19,0,19.37,2,16.9138888895,19.79,4.866666667,20.1
2016-01-12 19:20:00,60,50.0,0,19,0,19.39,2,16.906111111166666,19.79,4.866666667,20.1
2016-01-12 19:30:00,50,60.0,0,19,0,19.39,2,16.912222222166665,19.79,4.933333333,20.1
2016-01-12 19:40:00,60,50.0,0,19,0,19.39,2,16.902222222166667,19.79,4.933333333,20.1
2016-01-12 19:50:00,60,60.0,0,19,0,19.39,2,16.8344444445,19.79,4.626666667,20.03333333
2016-01-12 20:00:00,60,60.0,0,20,0,19.39,2,16.796666666666667,19.79,4.4,20.1
2016-01-12 20:10:00,50,60.0,0,20,0,19.35666667,2,16.780000001166666,19.79,4.366666667,20.06666667
2016-01-12 20:20:00,50,50.0,0,20,0,19.29,2,16.773888888333335,19.79,4.53,20.0
2016-01-12 20:30:00,50,50.0,0,20,0,19.29,2,16.778333333333332,19.79,4.59,20.0
2016-01-12 20:40:00,50,50.0,0,20,0,19.26,2,16.768333333333334,19.79,4.56,20.0
2016-01-12 20:50:00,50,50.0,0,20,0,19.2,2,16.6894444445,19.79,4.366666667,19.92666667
2016-01-12 21:00:00,60,50.0,0,21,0,19.2,2,16.653888888833336,19.79,4.263333333,19.89
2016-01-12 21:10:00,60,60.0,0,21,0,19.2,2,16.653888888833336,19.79,4.263333333,19.89
2016-01-12 21:20:00,40,60.0,0,21,0,19.1,2,16.648888888333335,19.79,4.4,19.89
2016-01-12 21:30:00,30,40.0,0,21,0,19.1,2,16.643333332833333,19.79,4.466666667,19.82333333
2016-01-12 21:40:00,30,30.0,0,21,20,19.04444444,2,16.644629628833336,19.73,4.623333333,19.79
2016-01-12 21:50:00,30,30.0,0,21,10,19.0,2,16.643333333333334,19.7,4.69,19.79
2016-01-12 22:00:00,40,30.0,0,22,0,19.0,3,16.662222222166665,19.7,4.833333333,19.76
2016-01-12 22:10:00,50,40.0,0,22,10,19.0,3,16.664444444500003,19.7,4.966666667,19.7
2016-01-12 22:20:00,50,50.0,0,22,0,19.0,3,16.680000000000003,19.7,5.09,19.7
2016-01-12 22:30:00,50,50.0,0,22,0,18.910625,3,16.658993055,19.73,5.09,19.63333333
2016-01-12 22:40:00,40,50.0,0,22,0,18.89,3,16.68777777833333,19.79,5.19,19.66666667
2016-01-12 22:50:00,50,40.0,0,22,0,18.89,3,16.690416666666668,19.79,5.2725,19.6
2016-01-12 23:00:00,40,50.0,0,23,0,18.89,3,16.6894444445,19.79,5.366666667,19.6
2016-01-12 23:10:00,40,40.0,0,23,0,18.80818182,3,16.686919191666668,19.79,5.5,19.53333333
2016-01-12 23:20:00,40,40.0,0,23,0,18.79,3,16.671666666666667,19.79,5.56,19.5
2016-01-12 23:30:00,40,40.0,0,23,0,18.79,3,16.69333333333333,19.79,5.69,19.5
2016-01-12 23:40:00,50,40.0,0,23,0,18.79,3,16.69333333333333,19.79,5.69,19.5
2016-01-12 23:50:00,50,50.0,0,23,0,18.775,3,16.714722221666666,19.89,5.8,19.5
2016-01-13 00:00:00,50,50.0,1,0,0,18.7,3,16.695555556166667,19.89,5.866666667,19.42666667
2016-01-13 00:10:00,30,50.0,1,0,0,18.7,3,16.71166666666667,19.89,6.0,19.39
2016-01-13 00:20:00,20,30.0,1,0,0,18.7,3,16.705555555,19.89,6.0,19.39
2016-01-13 00:30:00,30,20.0,1,0,0,18.69090909,3,16.646818181666667,19.89,5.73,19.39
2016-01-13 00:40:00,20,30.0,1,0,0,18.67777778,3,16.611296296666666,19.89,5.53,19.39
2016-01-13 00:50:00,40,20.0,1,0,0,18.64285714,3,16.589365078333334,19.82333333,5.5,19.39
2016-01-13 01:00:00,50,40.0,1,1,0,18.6,3,16.575555554999998,19.79,5.56,19.32333333
2016-01-13 01:10:00,60,50.0,1,1,0,18.6,3,16.56,19.79,5.5,19.29
2016-01-13 01:20:00,50,60.0,1,1,0,18.6,3,16.548888888833332,19.79,5.433333333,19.29
2016-01-13 01:30:00,40,50.0,1,1,0,18.58888889,3,16.535925926666664,19.85666667,5.4,19.29
2016-01-13 01:40:00,40,40.0,1,1,0,18.5,3,16.526666666666667,19.89,5.4,19.29
2016-01-13 01:50:00,50,40.0,1,1,0,18.5,3,16.526666666666667,19.89,5.4,19.29
2016-01-13 02:00:00,40,50.0,1,2,0,18.5,3,16.526666666666667,19.89,5.4,19.29
2016-01-13 02:10:00,40,40.0,1,2,0,18.5,3,16.52277777783333,19.89,5.466666667,19.2
2016-01-13 02:20:00,50,40.0,1,2,0,18.5,3,16.518333333333334,19.89,5.5,19.2
2016-01-13 02:30:00,50,50.0,1,2,0,18.5,3,16.528333333333336,19.89,5.56,19.2
2016-01-13 02:40:00,50,50.0,1,2,0,18.5,3,16.523333333333337,19.89,5.59,19.2
2016-01-13 02:50:00,40,50.0,1,2,0,18.48307692,3,16.533846152833334,19.96333333,5.656666667,19.2
2016-01-13 03:00:00,30,40.0,1,3,0,18.49388889,3,16.512314815,19.89,5.69,19.1
2016-01-13 03:10:00,20,30.0,1,3,0,18.42055556,3,16.500092593333335,19.89,5.69,19.1
2016-01-13 03:20:00,20,20.0,1,3,0,18.39611111,3,16.496018518333333,19.89,5.69,19.1
2016-01-13 03:30:00,20,20.0,1,3,0,18.39,3,16.495,19.89,5.69,19.1
2016-01-13 03:40:00,50,20.0,1,3,0,18.39,3,16.489999999500004,19.82333333,5.726666667,19.1
2016-01-13 03:50:00,50,50.0,1,3,0,18.37181818,3,16.48252525166667,19.79,5.8,19.1
2016-01-13 04:00:00,50,50.0,1,4,0,18.30764706,3,16.466274508833333,19.79,5.833333333,19.03333333
2016-01-13 04:10:00,40,50.0,1,4,0,18.34294118,3,16.472156862166667,19.82333333,5.833333333,19.03333333
2016-01-13 04:20:00,40,40.0,1,4,0,18.34,3,16.460555555,19.82333333,5.8,19.0
2016-01-13 04:30:00,50,40.0,1,4,0,18.29,3,16.457222222166667,19.89,5.763333333,19.0
2016-01-13 04:40:00,40,50.0,1,4,0,18.29,3,16.42277777716667,19.89,5.623333333,19.0
2016-01-13 04:50:00,50,40.0,1,4,0,18.29,3,16.433888888833334,19.89,5.623333333,19.0
2016-01-13 05:00:00,50,50.0,1,5,0,18.273125,3,16.430520833333336,19.89,5.69,18.96333333
2016-01-13 05:10:00,50,50.0,1,5,0,18.29,3,16.388333333333332,19.89,5.56,18.89
2016-01-13 05:20:00,40,50.0,1,5,0,18.245,3,16.3430555555,19.89,5.433333333,18.89
2016-01-13 05:30:00,40,40.0,1,5,0,18.2,3,16.3244444445,19.96333333,5.226666667,18.89
2016-01-13 05:40:00,50,40.0,1,5,0,18.2,3,16.34111111116667,19.89,5.366666667,18.89
2016-01-13 05:50:00,20,50.0,1,5,0,18.2,3,16.369444445000003,19.92666667,5.5,18.89
